Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
WIL4,WILJ,WILM,Wilmott Journal (Electronic),M-Merged,PD Business,,,,,,,,,,,,,O-Proprietary Owned,,,,
WLAW,WLAW,,Water Law,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WLA3,WLAW,,Water Law (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WMH3,WMH3,,World Medical & Health Policy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
WMON,WMON,,Wildlife Monographs,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WMO3,WMON,,Wildlife Monographs (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WMR,WMR,,Waste Management and Research,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WMR3,WMR,,Waste Management and Research (Electronic),S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WMTS,WMTS,,Wiley Interdisciplinary Reviews: Membrane         Transport and Signalling-Info Only - See 2527,I-Info Only,STMS Life Sciences,Life Sci,,,,,,,,,,,,-,,,,
WMW,WMW,,Wiener Medizinische Wochenschrift,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WMW2,WMW,,Wiener Medizinische Wochenschrift,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WNAN,WNAN,,WIREs Nanomedicine and Nanobiotechnology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WNA3,WNAN,,WIREs Nanomedicine and Nanobiotechnology          (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WOBA,WOBA,,World Banking Abstracts,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
WOB3,WOBA,,World Banking Abstracts (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
WOM3,WOM3,WOM3,World Migration Report,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
WOT,WOT,,World Oil Trade,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WOT3,WOT,,World Oil Trade (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WOW,WOW,,World Employment and Social Outlook,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
WOW3,WOW,,World Employment and Social Outlook,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
WPAR,WPAR,WPAR,Wiley Publish and Read,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WPS,WPS,,World Psychiatry,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
WPS2,WPS,,World Psychiatry (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
