Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
CHMT,CHMT,,CHEManager International - info only see 2435,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CHP,CHP,,Journal of Continuing Education in the             Health Professions,S-Sold/InterCo Transfr,PD Education,,,,,,,,,,,,,N-Society Owned,,,,
CHP2,CHP,,"Journal of Continuing Education in the             Health Professions, The (Electronic)",S-Sold/InterCo Transfr,PD Education,,,,,,,,,,,,,N-Society Owned,,,,
CHRS,CHRS,,International Hospitality & Tourism,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,-,,,,
CHSO,CHSO,,Children & Society,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
CHS3,CHSO,,Children & Society (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
CH2,CH,,Contemporary Hypnosis (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CIAN,CIAN,,Central Issues in Anthropology,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CIA2,CIA2,,Journal of Cutaneous Immunology and Allergy,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CIA3,CIAN,,Central Issues in Anthropology (Electronic),C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CICO,CICO,,City & Community,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CIC3,CICO,,City & Community (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CID,CID,,Clinical Implant Dentistry and Related Research,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CID2,CID,,Clinical Implant Dentistry and Related Research   (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CII,CII,,Cochlear Implants International,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CII2,CII,,Cochlear Implants International                   (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CIN,CIN,,Chemistry International,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CIND,CIND,,Chemistry & Industry,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CIN2,CIN,,Chemistry International,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CIN3,CIND,,Chemistry & Industry (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CIPT,CIPT,,CIT plus,A-Abandoned,,,,,,,,,,,,,,-,,,,
CIR,CIR,,Competitive Intelligence Review,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CIRT,CIRT,RIRT,Conversations In Religion & Theology,M-Merged,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CIR1,CIR1,,Competitive Intelligence Review,A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CIR2,CIR,,Competitive Intelligence Review                    (Electronic),C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CIR3,CIRT,RIRT,Conversations In Religion & Theology (Electronic),M-Merged,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CISO,CISO,,City & Society,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CIS3,CISO,,City & Society (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CITE,CITE,,Chemie-Ingenieur-Technik (CIT)                    Alpha code for WIS - Info Only - see journal 2004,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CITP,CITP,,CITplus                                            Alpha code for WIS - Info Only - see 2404,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CIUZ,CIUZ,,Chemie in unserer Zeit (CHIUZ)                    Alpha code for WIS - Info Only - see journal 2006,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CJA,CJA,,Computing Journal Abstracts,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CJAG,CJAG,,Canadian Journal of Agricultural Economics/Revue   canadienne d'agroeconomie,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CJAS,CJAS,,Canadian Journal of Administrative Sciences       Revue Canadienne des Sciences de l'Administration,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CJA3,CJAS,,Canadian Journal of Administrative Sciences       Revue Canadienne des Sciences de l'Administration,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CJA4,CJAG,,Canadian Journal of Agricultural Economics/Revue   canadienne d'agroeconomie,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CJCE,CJCE,,The Canadian Journal of Chemical Engineering,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CJC3,CJCE,,"Canadian Journal of Chemical Engineering, The      (Electronic)",P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CJG2,CJG2,,Chinese Journal of Geophysics (Acta Geophysical Si,C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CJOC,CJOC,,Chinese Journal of Chemistry                      Alpha code for WIS - Info Only - see journal 2434,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CJP2,CJP2,,The Journal of Pathology: Clinical Research,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
CJR,CJR,JR,Commercial Judicial Review Bulletin,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CJS,CJS,,The Canadian Journal of Statistics/La revue        canadienne de statistique,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CJS2,CJS,,The Canadian Journal of Statistics/La revue        canadienne de statistique,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CKON,CKON,,Chemkon - Chemie konkret                          Alpha code for WIS - Info Only - see journal 2106,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CLA,CLA,,Cladistics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CLAR,CLAR,,Clinical Autonomic Research,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CLA2,CLA,,Cladistics (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CLC,CLC,,Clinical Cardiology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CLC2,CLC,,Clinical Cardiology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CLD3,CLD3,,Clinical Liver Disease,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CLEN,CLEN,,"CLEAN - Soil, Air, Water                          Alpha code for WIS - Info Only - see journal 2047",I-Info Only,STMS Life Sciences,Life Sci,,,,,,,,,,,,-,,,,
CLM,CLM,,Clinical Microbiology and Infection,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CLM2,CLM,,Clinical Microbiology and Infection (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CLN,CLN,,Clinical Neuroscience,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CLN2,CLN,,Clinical Neuroscience (Electronic),C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CLN3,CLN3,,Cochrane Learning (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CLR,CLR,,Clinical Oral Implants Research,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CLR2,CLR,,Clinical Oral Implants Research (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CL2,CL2,CL2,Campbell Systematic Reviews,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CM,CM,,Cytoskeleton,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMA,CMA,,Chemtracts Macro,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMB3,CMB3,,Cell and Molecular Biology Reports,A-Abandoned,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMDC,CMDC,,ChemMedChem                                       Alpha code for WIS - Info Only - see journal 2452,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CMI,CMI,,Cellular Microbiology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMI2,CMI,,Cellular Microbiology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMM,CMM,CMM,Methods in Molecular and Cellular Biology,C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMMI,CMMI,,Contrast Media & Molecular Imaging,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMM3,CMMI,,Contrast Media & Molecular Imaging                 (Electronic),U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMM4,CMM4,CMM4,Computational and Mathematical Methods,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMR,CMR,CMR-AB,Concepts in Magnetic Resonance:                   Part A,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMRB,CMRB,CMR-AB,Concepts in Magnetic Resonance Part B:             Magnetic Resonance Engineering,U-Outsourced,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMR2,CMR,CMR-AB,Concepts in Magnetic Resonance:                   Part A,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMR7,CMRB,CMR-AB,Concepts in Magnetic Resonance Part B:             Magnetic Resonance Engineering,U-Outsourced,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMS,CMS,JCH,Journal of the Cardiometabolic Syndrome,M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMS2,CMS,JCH,Journal of the Cardiometabolic Syndrome           (Electronic),M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CMS3,CMS3,,Center for Migration Studies Special Issues       (Electronic),C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CMTD,CMTD,CMTD,"Chemistry - Methods (Info Only, See E503)",I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,J-Joint Owned,,,,
CMXX,CMXX,,Delete - Cell Motility & The Cytoskeleton,A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,-,,,,
CM2,CM,,Cytoskeleton (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNCR,CNCR,CNCR,Cancer,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CNCY,CNCY,CNCR,Cancer Cytopathology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CNC3,CNCR,CNCR,Cancer (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CNC4,CNCY,CNCR,Cancer Cytopathology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CNE,CNE,,The Journal of Comparative Neurology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNE2,CNE,,The Journal of Comparative Neurology               (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNM,CNM,NUMPACK,International Journal for Numerical Methods in     Biomedical Engineering,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNMA,CNMA,,CHEMNANOMAT Alpha code for WIS - Info Only - see journal 2761,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNM2,CNM,NUMPACK,International Journal for Numerical Methods in     Biomedical Engineering (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNR2,CNR2,,Cancer Reports,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNS,CNS,,CNS: Neuroscience and Therapeutics,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNS2,CNS,,CNS: Neuroscience and Therapeutics (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CNT,CNT,,Centaurus,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CNT2,CNT,,Centaurus (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CN06,CNCR,CNCR,Cancer (Cancer Cytopathology)                     (See CNCR),I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CN24,CN24,,Cancer  (only)                                    (See CNCR),A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,-,,,,
CN30,CN30,,CANCER                                            (see CNCR),A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,-,,,,
COA,COA,,Clinical Otolaryngology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COAN,COAN,,Companion Animal,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
COA2,COA,,Clinical Otolaryngology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COA3,COAN,,Companion Animal (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
COB,COB,,Clinical Obesity,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
COBI,COBI,COBI,Conservation Biology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
COB3,COBI,COBI,Conservation Biology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
COD,COD,,Contact Dermatitis,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CODI,CODI,,Colorectal Disease,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
COD2,COD,,Contact Dermatitis (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COD3,CODI,,Colorectal Disease (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
COEP,COEP,,Contemporary Economic Policy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
COE3,COEP,,Contemporary Economic Policy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
COGS,COGS,,Cognitive Science - A Multidisciplinary Journal,O-Obsolete media,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
COG3,COGS,,Cognitive Science - A Multidisciplinary Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
COIN,COIN,,Computational Intelligence,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COI3,COIN,,Computational Intelligence (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COL,COL,,Color Research & Application,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COL2,COL,,Color Research & Application                       (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COM,COM,,Handbook of Common Stocks,S-Sold/InterCo Transfr,PD Business,,,,,,,,,,,,,O-Proprietary Owned,,,,
COMT,COMT,JCOM,Communication Theory,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
COM3,COMT,JCOM,Communication Theory (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CON,CON,,Contamination Control,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CONL,CONL,,Conservation Letters,A-Abandoned,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CONS,CONS,,Constellations,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CON2,CON,,Contamination Control (Electronic),C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CON3,CONS,,Constellations (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CON4,CON4,,Conservation Letters (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COR,COR,,Chemtracts Organic,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CORG,CORG,,Corporate Governance,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
COR2,COR2,,CORE  Trials,A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
COR3,CORG,,Corporate Governance: An International Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
COTE,COTE,,Coloration Technology,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
COTO,COTO,,Counseling Today,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
COT3,COTE,,Coloration Technology (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
CO2,COB,,Clinical Obesity (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CP,CP,,Clinical Psychologist,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CPA,CPA,,Communications On Pure and Applied Mathematics,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPA3,CPA,,Communications On Pure and Applied Mathematics,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPBI,CPBI,,Current Protocols in Bioinformatics,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPB3,CPBI,,Current Protocols in Bioinformatics (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPCB,CPCB,,Current Protocols in Cell Biology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPCH,CPCH,,Current Protocols in Chemical Biology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPCY,CPCY,,Current Protocols in Cytometry,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPC3,CPCY,,Current Protocols in Cytometry (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPC4,CPCB,,Current Protocols in Cell Biology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPDC,CPDC,,Current protocols.com,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPDD,CPDD,,Clinical Pharmacology in Drug Developement,A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CPD3,CPD3,,Clinical Pharmacology in Drug Development         (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CPE,CPE,,Concurrency and Computation: Practice and          Experience,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPET,CPET,,Current Protocols: Essential Laboratory Techniques,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPE2,CPE,,Concurrency and Computation: Practice and          Experience,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPE3,CPET,,Current Protocols: Essential Laboratory Techniques (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPF,CPF,,Clinical Physiology and Functional Imaging,Z-To be Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CPF3,CPF,,Clinical Physiology and Functional Imaging        (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
CPHC,CPHC,,ChemPhysChem                                      Alpha code for WIS - Info Only - see journal 2267,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CPHG,CPHG,,Current Protocols in Human Genetics,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPH3,CPHG,,Current Protocols in Human Genetics (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPH4,CPH4,,Comprehensive Physiology,I-Info Only,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
CPIM,CPIM,,Current Protocols in Immunology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPI3,CPIM,,Current Protocols in Immunology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPLU,CPLU,,ChemPlusChem                                      Alpha code for WIS - Info Only - see journal E688,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
CPLX,CPLX,,Complexity,U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPL1,CPL1,,Complexity,A-Abandoned,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CPL3,CPLX,,Complexity (Electronic),U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPMB,CPMB,,Current Protocols in Molecular Biology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPMC,CPMC,,Current Protocols in Microbiology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPMI,CPMI,,Current Protocols in Magnetic Resonance Imaging,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPMO,CPMO,,Current Protocols in Mouse Biology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPM3,CPMC,,Current Protocols in Microbiology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPM4,CPMI,,Current Protocols in Magnetic Resonance Imaging,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPM5,CPMB,,Current Protocols in Molecular Biology (Electronic,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPNC,CPNC,,Current Protocols in Nucleic Acid Chemistry,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPNL,CPNL,JCPP,Acpp Newsletter,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
CPNS,CPNS,,Current Protocols in Neuroscience,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPN3,CPNC,,Current Protocols in Nucleic Acid Chemistry (Elec),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPN4,CPNS,,Current Protocols in Neuroscience (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPP,CPP,,Clinical Psychology and Psychotherapy             (An International Journal of Theory & Practice),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CPPB,CPPB,,Current Protocols in Plant Biology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPPH,CPPH,,Current Protocols in Pharmacology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPPS,CPPS,,Current Protocols in Protein Science,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPP2,CPP,,Clinical Psychology and Psychotherapy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
CPP3,CPPH,,Current Protocols in Pharmacology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPR,CPR,,Cell Proliferation,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
CPRA,CPRA,,Cancer Practice,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
